"swbi","iDeaths","iCases","FTSEMIB","iCoronaVirus","iCoronaVirusNews","iCovid","iCovidNews","iRt","iUnemployment","iUnemploymentNews","iEconomy","iEconomyNews","iGDP","iGDPNews","iStress","iDepression","iHealth","iSolitude","iInsomnia","iResidential","iWorkplace","ipm25","itemperature","iWuhan","iAdultContent","iFB.CLI","iFB.ILI","iFB.MC","iFB.DC","iFB.HF","ilockdown"
49.9326461578586,NA,NA,23032.3333333333,0,0,0,0,40,29,38,79,31,38,87,66,85,19,48,73,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,0
49.5190901914553,NA,NA,22957,0,0,0,0,39.1428571428571,28.8571428571429,38,78.4285714285714,33.8571428571429,37.2857142857143,86.8571428571429,65.5714285714286,85.4285714285714,18.8571428571429,49,72,NA,NA,NA,NA,NA,70.2857142857143,NA,NA,NA,NA,NA,0
49.1878086161851,NA,NA,23123,0,0,0,0,38.2857142857143,28.7142857142857,38,77.8571428571429,36.7142857142857,36.5714285714286,86.7142857142857,65.1428571428571,85.8571428571429,18.7142857142857,50,71,NA,NA,NA,NA,NA,70.5714285714286,NA,NA,NA,NA,NA,0
49.9625850612559,NA,NA,23156,0,0,0,0,37.4285714285714,28.5714285714286,38,77.2857142857143,39.5714285714286,35.8571428571429,86.5714285714286,64.7142857142857,86.2857142857143,18.5714285714286,51,70,NA,NA,NA,NA,NA,70.8571428571429,NA,NA,NA,NA,NA,0
49.4437705990155,NA,NA,23391,0,0,0,0,36.5714285714286,28.4285714285714,38,76.7142857142857,42.4285714285714,35.1428571428571,86.4285714285714,64.2857142857143,86.7142857142857,18.4285714285714,52,69,NA,NA,NA,NA,NA,71.1428571428571,NA,NA,NA,NA,NA,0
48.8113224841949,NA,NA,23329,0,0,0,0,35.7142857142857,28.2857142857143,38,76.1428571428571,45.2857142857143,34.4285714285714,86.2857142857143,63.8571428571429,87.1428571428571,18.2857142857143,53,68,NA,NA,NA,NA,NA,71.4285714285714,NA,NA,NA,NA,NA,0
48.670190351442,NA,NA,23394.3333333333,0,0,0,0,34.8571428571429,28.1428571428571,38,75.5714285714286,48.1428571428571,33.7142857142857,86.1428571428571,63.4285714285714,87.5714285714286,18.1428571428571,54,67,NA,NA,NA,NA,NA,71.7142857142857,NA,NA,NA,NA,NA,0
49.3451167619828,NA,NA,23459.6666666667,0,0,0,0,34,28,38,75,51,33,86,63,88,18,55,66,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,0
49.2969322727795,NA,NA,23525,0,0,0,0,33.8571428571429,27,32.5714285714286,72.5714285714286,53.4285714285714,32.8571428571429,85,60.4285714285714,88.4285714285714,17.7142857142857,56.5714285714286,63.4285714285714,NA,NA,NA,NA,NA,73.1428571428571,NA,NA,NA,NA,NA,0
48.9283781452207,NA,NA,23631,0,0,0,0,33.7142857142857,26,27.1428571428571,70.1428571428571,55.8571428571429,32.7142857142857,84,57.8571428571429,88.8571428571429,17.4285714285714,58.1428571428571,60.8571428571429,NA,NA,NA,NA,NA,74.2857142857143,NA,NA,NA,NA,NA,0
46.7731050287672,NA,NA,23629,0,0,0,0,33.5714285714286,25,21.7142857142857,67.7142857142857,58.2857142857143,32.5714285714286,83,55.2857142857143,89.2857142857143,17.1428571428571,59.7142857142857,58.2857142857143,NA,NA,NA,NA,NA,75.4285714285714,NA,NA,NA,NA,NA,0
47.5607859686243,NA,NA,23709,0,0,0,0,33.4285714285714,24,16.2857142857143,65.2857142857143,60.7142857142857,32.4285714285714,82,52.7142857142857,89.7142857142857,16.8571428571429,61.2857142857143,55.7142857142857,NA,NA,NA,NA,NA,76.5714285714286,NA,NA,NA,NA,NA,0
48.6881789851653,NA,NA,24004,0,0,0,0,33.2857142857143,23,10.8571428571429,62.8571428571429,63.1428571428571,32.2857142857143,81,50.1428571428571,90.1428571428571,16.5714285714286,62.8571428571429,53.1428571428571,NA,NA,NA,NA,NA,77.7142857142857,NA,NA,NA,NA,NA,0
49.0263978888054,NA,NA,23968.6666666667,0,0,0,0,33.1428571428571,22,5.42857142857143,60.4285714285714,65.5714285714286,32.1428571428571,80,47.5714285714286,90.5714285714286,16.2857142857143,64.4285714285714,50.5714285714286,NA,NA,NA,NA,NA,78.8571428571429,NA,NA,NA,NA,NA,0
49.5373653193015,NA,NA,23933.3333333333,0,0,0,0,33,21,0,58,68,32,79,45,91,16,66,48,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,0
49.8342214476214,NA,NA,23898,0.0714285714285714,0,0,0,34.4285714285714,22.4285714285714,5.28571428571429,59.4285714285714,67,32.1428571428571,77,46.5714285714286,88.7142857142857,16.2857142857143,66,50.8571428571429,NA,NA,NA,NA,NA,79.5714285714286,NA,NA,NA,NA,NA,0
50.3883739133366,NA,NA,23863,0.142857142857143,0,0,0,35.8571428571429,23.8571428571429,10.5714285714286,60.8571428571429,66,32.2857142857143,75,48.1428571428571,86.4285714285714,16.5714285714286,66,53.7142857142857,NA,NA,NA,NA,NA,79.1428571428571,NA,NA,NA,NA,NA,0
