"swbj","jDeaths","jCases","NIKKEI","jCoronaVirus","jCoronaVirusNews","jCorona","jCoronaNews","jCovid","jCovidNews","jUnemployment","jUnemploymentNews","jEconomy","jEconomyNews","jGDP","jGDPNews","jStress","jDepression","jHealth","jSolitude","jInsomnia","jResidential","jWorkplace","jpm25","jtemperature","jWuhan","jAdultContent","jFB.CLI","jFB.ILI","jFB.MC","jFB.DC","jFB.HF","jlockdown"
38.6132301524548,NA,NA,23319.869141,0,0,NA,0,0,0,43.2857142857143,15.4285714285714,61.2857142857143,43,30.7142857142857,63.8571428571429,76,78.7142857142857,81.5714285714286,76.2857142857143,67.5714285714286,NA,NA,NA,NA,NA,56.8571428571429,NA,NA,NA,NA,NA,0
36.7997287995362,NA,NA,23141.550781,0,0,NA,0,0,0,42.7142857142857,11.5714285714286,61.7142857142857,42,30.2857142857143,58.1428571428571,80,80.2857142857143,81.4285714285714,77.7142857142857,69.4285714285714,NA,NA,NA,NA,NA,57.1428571428571,NA,NA,NA,NA,NA,0
39.0554355734437,NA,NA,23303.320313,0,0,NA,0,0,0,42.1428571428571,7.71428571428572,62.1428571428571,41,29.8571428571429,52.4285714285714,84,81.8571428571429,81.2857142857143,79.1428571428571,71.2857142857143,NA,NA,NA,NA,NA,57.4285714285714,NA,NA,NA,NA,NA,0
39.330738233768,NA,NA,23341.133464,0,0,NA,0,0,0,41.5714285714286,3.85714285714286,62.5714285714286,40,29.4285714285714,46.7142857142857,88,83.4285714285714,81.1428571428571,80.5714285714286,73.1428571428571,NA,NA,NA,NA,NA,57.7142857142857,NA,NA,NA,NA,NA,0
39.7312832611146,NA,NA,23378.946615,0,0,NA,0,0,0,41,0,63,39,29,41,92,85,81,82,75,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,0
44.5238936505595,NA,NA,23416.759766,0,0,NA,0,0,0,41.2857142857143,3.85714285714286,62.2857142857143,38.5714285714286,29,41,83,84,80.8571428571429,82.5714285714286,74.4285714285714,NA,NA,NA,NA,NA,58.1428571428571,NA,NA,NA,NA,NA,0
48.1530216437364,NA,NA,23292.650391,0,0,NA,0,0,0,41.5714285714286,7.71428571428571,61.5714285714286,38.1428571428571,29,41,74,83,80.7142857142857,83.1428571428571,73.8571428571429,NA,NA,NA,NA,NA,58.2857142857143,NA,NA,NA,NA,NA,0
51.5318759518538,NA,NA,23148.570313,0,0,NA,0,0,0,41.8571428571429,11.5714285714286,60.8571428571429,37.7142857142857,29,41,65,82,80.5714285714286,83.7142857142857,73.2857142857143,NA,NA,NA,NA,NA,58.4285714285714,NA,NA,NA,NA,NA,0
50.377443583478,NA,NA,23038.580078,0,0,NA,0,0,0,42.1428571428571,15.4285714285714,60.1428571428571,37.2857142857143,29,41,56,81,80.4285714285714,84.2857142857143,72.7142857142857,NA,NA,NA,NA,NA,58.5714285714286,NA,NA,NA,NA,NA,0
44.5452234674768,NA,NA,23112.880859,0,0,NA,0,0,0,42.4285714285714,19.2857142857143,59.4285714285714,36.8571428571429,29,41,47,80,80.2857142857143,84.8571428571429,72.1428571428571,NA,NA,NA,NA,NA,58.7142857142857,NA,NA,NA,NA,NA,0
42.7114716923145,NA,NA,23172.8574216667,0,0,NA,0,0,0,42.7142857142857,23.1428571428571,58.7142857142857,36.4285714285714,29,41,38,79,80.1428571428571,85.4285714285714,71.5714285714286,NA,NA,NA,NA,NA,58.8571428571429,NA,NA,NA,NA,NA,0
41.816809159174,NA,NA,23232.8339843333,0,0,NA,0,0,0,43,27,58,36,29,41,29,78,80,86,71,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,0
41.6257281192405,NA,NA,23292.810547,0,0,NA,0,0,0,42.8571428571429,29.4285714285714,59.1428571428571,40.1428571428571,28.7142857142857,39.2857142857143,30,76.5714285714286,79.5714285714286,84.7142857142857,70.1428571428571,NA,NA,NA,NA,NA,59.1428571428571,NA,NA,NA,NA,NA,0
38.3983743334236,NA,NA,23373.320313,0,0,NA,0,0,0,42.7142857142857,31.8571428571429,60.2857142857143,44.2857142857143,28.4285714285714,37.5714285714286,31,75.1428571428571,79.1428571428571,83.4285714285714,69.2857142857143,NA,NA,NA,NA,NA,59.2857142857143,NA,NA,NA,NA,NA,0
34.2187925319763,NA,NA,23437.769531,0,0,NA,0,0,0,42.5714285714286,34.2857142857143,61.4285714285714,48.4285714285714,28.1428571428571,35.8571428571429,32,73.7142857142857,78.7142857142857,82.1428571428571,68.4285714285714,NA,NA,NA,NA,NA,59.4285714285714,NA,NA,NA,NA,NA,0
34.6587939749229,NA,NA,23409.140625,0,0,NA,0,0,0,42.4285714285714,36.7142857142857,62.5714285714286,52.5714285714286,27.8571428571429,34.1428571428571,33,72.2857142857143,78.2857142857143,80.8571428571429,67.5714285714286,NA,NA,NA,NA,NA,59.5714285714286,NA,NA,NA,NA,NA,0
36.724356060197,NA,NA,23293.910156,0,0,NA,0,0,0,42.2857142857143,39.1428571428571,63.7142857142857,56.7142857142857,27.5714285714286,32.4285714285714,34,70.8571428571429,77.8571428571429,79.5714285714286,66.7142857142857,NA,NA,NA,NA,NA,59.7142857142857,NA,NA,NA,NA,NA,0
37.8433685377366,NA,NA,23372.440104,0,0,NA,0,0,0,42.1428571428571,41.5714285714286,64.8571428571429,60.8571428571429,27.2857142857143,30.7142857142857,35,69.4285714285714,77.4285714285714,78.2857142857143,65.8571428571429,NA,NA,NA,NA,NA,59.8571428571429,NA,NA,NA,NA,NA,0
38.6782724136003,NA,NA,23450.970052,0,0,NA,0,0,0,42,44,66,65,27,29,36,68,77,77,65,NA,NA,NA,NA,1,60,NA,NA,NA,NA,NA,0
